Name,cluster
"Сутінкове реле E.Next e.sensor.light-conrol.302.white(білий), 10А, IP44 s061007",-1
"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,75",-1
Блок фазних клем Hager KN14P,20
Вимикач автоматичний 3-полюсний Hager 6kA MC310A C 10A,22
Індикатор модульний LED Hager SVN127 3 червоних,3
"УЕК інструмент обжимний KO-01 (1,5-6,0) TKL10-D15-006",5
Патрон люстровий з гайкою E.Next Е14 s9100006 білий,11
Коробка розподільна для гіпсокартона IP20 Schneider IMT35160 80*45,0
Вимикач автоматичний 1-полюсний Hager 6kA MB110A B 10A,25
Вимикач автоматичний 2-полюсний Hager 6kA MB216A B 16A,25
"АВВГ кабель вітчизняний 4* 2,5",24
Контактор 230V Hager ESC225 25A 2нв,9
"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",7
"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",7
"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",2
Прожектор LED УЕК IP65 4000Lm 50W/6500K СДО06-50 LPDO601-50-40-K02-U,3
Блок відгалужувальний Hager KJ02D,24
Лампа люмінесцентна Philips G5 6W/54 TL,2
Лампа люмінесцентна Philips G13 18W/33 TLD Standart,2
"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",7
Корпус накладний прозора дверка Cosmos IP40/II Hager VD118TD 18 модулів 200*292.5*91mm,0
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
Реле проміжне 12V DC 10А E.Next e.control.p1041 i.ly4.12dc,9
Зажим клемний DIN-рейку УЕК ЗНИ- 6 50А сiрий YZN10-006-K03,5
Зажим клемний DIN-рейку УЕК ЗНИ- 6 50А синій YZN10-006-K07,5
"Шина ""N"" DIN-iзольована E.Next p0650011 e.bsi.pro.2.6 (6 відгалужень)",4
Заглушка УЕК 12 модулів біла YZM10-12-K01,7
"Шина ""N"" DIN в корпусі E.Next p0650001 2* 7 груп e.cbs.pro.2.7",4
Шина Hager з’єднувальна штирьова 1-полюсна 12 модулів 10 мм2 PIN KB163A сіра,12
Шина Hager з’єднувальна вилочна 2-полюсна 12 модулів 10 мм2 FORK KDN263A,-1
Шина Hager з’єднувальна вилочна 1-полюсна 12 модульна 10 мм.кв. FORK KDN163A,-1
Вимикач автоматичний 1-полюсний Hager 6kA MB132A B 32A,25
Вимикач автоматичний 1-полюсний Hager 6kA MC140A C 40A,22
"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",6
ПВ-3 провід перетином 2.5,24
"ПВС кабель вітчизняний 3* 2,5 чорний",24
Коробка розподільна IP55 Spelsberg 332-912 I12-L 85*85*37 сіра 33291201,0
"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",7
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,18
"Трубка термоусаджувальна 4,0/2,0",26
"АВВГ кабель вітчизняний 2* 2,5",24
Затискач анкерний натяжний 2*(16-25) вітчизняний ЗА 1.1,-1
Патрон підвісний керамічний E.Next Е27 s9100014,11
"Трубка термоусаджувальна 5,0/2,5",26
"Трубка термоусаджувальна 3,0/1,5",26
"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 1,0",-1
Лампа компактна Osram G23 9W/840 DULUX S,19
"Інструмент E.Next e.tool.crimp.hs.313 для обтиску, різки, зачистки проводів t002016",15
Лічильник однофазний E.Next e.control.w04m 5(45)А електронний клас 1.0 (некомерційний облік) i0310031m,21
"РЖ кабель FinMark F6TSVcu RG-6 1,0 trishield (екран 64*0,16мм)",6
"Вимикач автоматичний 3-полюсний E.Next 4,5кА e.mcb.stand.45.3.C.63 s002037",16
Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,9
Лампа компактна Osram G23 9W/840 DULUX S,19
Викрутка-пробник електронна УЕК ОП-2е TPR20,-1
Викрутка-пробник УЕК ОП-1 TPR10,-1
Коробка розподільна IP55 Spelsberg 310-908 Mini25-L 89*43*37 сіра (31090801),0
Корпус пластиковий зовнішній з кришкою прозора IP30 УЕК КМПн 2/ 6 MKP42-N-06-30-09,12
"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 10А MVA20-1-010-C-U",5
Реле часу багатофункціональне E.Next e.control.t06m p0690012,21
Перемикач клавішний KCD5-2-101 B/B круглий мініатюрний чорний АСКО-УКРЕМ A0140040132,11
Реле проміжне 230V AC 10А E.Next e.control.p1036 i.ly3.230ac,9
Роз’єм модульний до реле ly3 10А E.Next e.control.p103s i.ptf.11a,14
"Щит 0,25кВт IP30 УЕК ЯТП 0,25 220/12-2 MTT12-012-0250",0
Світильник вбудований круглий LED D119 1710lm Lezard 119-CCEL-4218 18W/4200K,3
"Спіральна обв'язка E.Next e.spiral.stand.6.black, 4-50 мм, 10м, чорна  s2038011",-1
"ШВВП провід вітчизняний 2*1,5",24
Лампа LED E27 Lezard 220V A60 11W/4200 442-A60-2711,3
Корпус щита пластиковий Білмакс IP20 без кришки 3-4 модулі,12
"Пластикова рамка E.Next  e.f.es.rxj.01, для намотування кабелю s042201",8
"Клема з’єднувальна з пастою Wago 273-503 для 3 проводів 1,5-4 кв.мм сіра (для монолітних проводів)",7
"Шина ""N"" DIN в корпусі E.Next p0650004 4* 7 груп e.cbs.pro.4.7",4
"Вимикач автоматичний 3-полюсний УЕК 4,5кА ВА47-29 C 16А MVA20-3-016-C-U",5
Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),0
Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),0
Коробка для 1(3)-фазного лічильника NIK IP54 DOT.3-1 (випуклий),0
Лампа галогенова 12V Feron G4 10W JC 442,19
Кабельний ввід латунний E.Next e.met.pg.stand.7 s051007,27
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,14
"Реле проміжне E.Next e.control.p1046L з Led індикацією 10А, 4 групи контактів, котушка 230В АC i.ly4n.230ac",9
Корпус пластиковий зовнішній IP65 УЕК ЩМПп 300*200*130 УХЛ1 MKP93-N-302013-65-U,12
Лічильник 3 фазний 5-120А електронний активної енергії NIK-2301 AP3.0000.0.11 (АП3),21
Контакт для кнопок Аско ZB2-BE101 NO A0140010025,0
"Шина з'єднувальна E.Next e.bc.stand.3.12.63, 3п., 63 А, 12 модулів  s017008",4
Патрон підвісний керамічний E.Next Е27 s9100014,11
Контактор 230V Hager безшумний ESC463S 63A 4нв,9
Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,-1
Роз’єм модульний до РЭК78/3 УЕК РРМ78/3 RRP20D-RRM-3,5
