algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
hdbscan,8,,0.4579616,1.461245833591075,89.99119,35,0.181,0.9388194472876151,0.6072000000000001,,,10.0,
hdbscan,8,,0.27000403,1.9248737529810744,67.992836,15,0.24,0.9388194472876151,0.6072000000000001,,,20.0,
hdbscan,8,,0.33840108,2.753124810386671,197.1127,2,0.202,0.9388194472876151,0.6072000000000001,,,50.0,
agglomerative,8,5.0,0.2989612,1.0901436739661008,277.93054,5,0.0,0.9388194472876151,0.6072000000000001,,,,ward
agglomerative,8,5.0,0.4772713,0.6820934559614178,106.04707,5,0.0,0.9388194472876151,0.6072000000000001,,,,average
agglomerative,8,10.0,0.3935803,0.7729666838317575,338.66663,10,0.0,0.9388194472876151,0.6072000000000001,,,,ward
agglomerative,8,10.0,0.35092065,0.46122327676631614,108.26729,10,0.0,0.9388194472876151,0.6072000000000001,,,,average
agglomerative,8,15.0,0.46686023,0.7161673473387405,478.91632,15,0.0,0.9388194472876151,0.6072000000000001,,,,ward
agglomerative,8,15.0,0.40926793,0.4321632662009835,267.35724,15,0.0,0.9388194472876151,0.6072000000000001,,,,average
kmeans,4,5.0,0.36273757,1.0460379517942295,423.6598,5,0.0,0.9375291709314227,0.6127333333333334,,,,
kmeans,4,10.0,0.40586987,0.6985885725406143,463.00842,10,0.0,0.9375291709314227,0.6127333333333334,,,,
kmeans,4,15.0,0.45412078,0.5326635628947728,735.0133,15,0.0,0.9375291709314227,0.6127333333333334,,,,
dbscan,4,,0.6491972,1.082252828630075,356.92252,78,0.067,0.9375291709314227,0.6127333333333334,0.3,5.0,,
dbscan,4,,0.16486011,1.1216119932202202,57.77457,36,0.42,0.9375291709314227,0.6127333333333334,0.3,10.0,,
dbscan,4,,0.65698344,0.674944745630298,2472.2168,59,0.017,0.9375291709314227,0.6127333333333334,0.5,5.0,,
dbscan,4,,0.44429988,1.5934035605577677,108.56033,41,0.194,0.9375291709314227,0.6127333333333334,0.5,10.0,,
dbscan,4,,0.5606321,0.6059555966988683,1749.2228,42,0.008,0.9375291709314227,0.6127333333333334,0.7,5.0,,
dbscan,4,,0.5245913,2.218606988929113,165.3548,32,0.102,0.9375291709314227,0.6127333333333334,0.7,10.0,,
hdbscan,4,,0.4818631,1.630770186043947,134.0021,39,0.165,0.9375291709314227,0.6127333333333334,,,10.0,
hdbscan,4,,0.44731227,2.3229711092147913,191.04561,5,0.122,0.9375291709314227,0.6127333333333334,,,20.0,
hdbscan,4,,0.4444094,2.711500954404279,299.43518,2,0.188,0.9375291709314227,0.6127333333333334,,,50.0,
