config_1,config_2,mean_similarity,min_similarity,max_similarity,std_similarity,coverage_ratio
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d4_n_clusters-5_linkage-average,0.6226109908445452,0.23076923076923078,0.9428090415820635,0.265068268391906,0.5
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d4_n_clusters-5_linkage-ward,0.32168489026692115,0.08770580193070293,0.5547001962252291,0.17685419455736312,0.5
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-10_linkage-average,0.868772385109656,0.0,1.0,0.3003906504385242,1.0
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-10_linkage-ward,0.5428991232814927,0.0,1.0,0.3956048384219192,1.0
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-15_linkage-average,0.8366833446326396,0.26111648393354675,1.0,0.250839260467486,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-15_linkage-ward,0.6123351719595377,0.0,1.0,0.369900343284391,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-5_linkage-average,0.8988861337434599,0.8006407690254357,1.0,0.07814270705765677,0.5
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-5_linkage-ward,0.38011538716375404,0.15384615384615385,0.6666666666666666,0.19941609080702913,0.5
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-10_linkage-average,0.6932188196482526,0.0,1.0,0.3737879055764293,1.0
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-10_linkage-ward,0.43085067707942004,0.0,0.9428090415820635,0.38082153590174556,1.0
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-15_linkage-average,0.8207592213499666,0.2631174057921088,1.0,0.2752242220558541,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-15_linkage-ward,0.5677797787315096,0.0,1.0,0.38541228651703313,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-5_linkage-average,0.7528102797373563,0.5547001962252291,0.9428090415820635,0.16914561198954836,0.5
agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-5_linkage-ward,0.384980093819607,0.0,0.9333333333333333,0.33791589598518734,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d128_n_clusters-15_linkage-average,0.6882525348927718,0.0,1.0,0.2961378304148938,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d128_n_clusters-15_linkage-ward,0.8402892808166671,0.5,1.0,0.19645064704281462,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d128_n_clusters-5_linkage-average,0.6657134832974586,0.0,1.0,0.40541983263728826,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d128_n_clusters-5_linkage-ward,0.7900552999328712,0.5,0.9607689228305227,0.1702922083795799,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-10_linkage-average,0.5869109591025483,0.0,1.0,0.40234735304786334,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-10_linkage-ward,0.6553766194215052,0.0,1.0,0.3091828342114662,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-15_linkage-average,0.6227891794220761,0.0,1.0,0.3646216310232745,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-15_linkage-ward,0.7398785958761414,0.3333333333333333,1.0,0.20753916222532556,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-5_linkage-average,0.6847658132894813,0.38575837490522974,1.0,0.24576337364481038,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-5_linkage-ward,0.6994602720426581,0.4767312946227962,0.9534625892455924,0.1632912193418059,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-10_linkage-average,0.6647639615019884,0.0,1.0,0.36658593233313425,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-10_linkage-ward,0.7321549242124353,0.07142857142857142,1.0,0.27785640496113556,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-15_linkage-average,0.621741210696157,0.0,1.0,0.3444011281868093,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-15_linkage-ward,0.7626390798787658,0.3849001794597505,1.0,0.2047869805376872,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-5_linkage-average,0.8638183416477127,0.38575837490522974,1.0,0.2404204642228332,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-5_linkage-ward,0.810214611048145,0.36363636363636365,1.0,0.2329036223019533,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-10_linkage-average,0.3729202469272309,0.0,0.7378647873726218,0.21614355234260144,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-10_linkage-ward,0.5168313009606995,0.0,0.8944271909999159,0.3058064610539044,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-15_linkage-average,0.3642758988139128,0.0,0.7378647873726218,0.20923879852177393,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-15_linkage-ward,0.5653976098970025,0.10540925533894598,0.8944271909999159,0.23836048165107718,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-5_linkage-average,0.3257993430259106,0.0,0.6030226891555273,0.2427442749561971,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-5_linkage-ward,0.5245442175651628,0.08058229640253803,0.7126966450997984,0.22818932717363533,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-10_linkage-average,0.5869109591025483,0.0,1.0,0.40234735304786334,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-10_linkage-ward,0.7421696452377253,0.0,1.0,0.2908313507625439,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-15_linkage-average,0.6502926762644398,0.0,1.0,0.3192511550467709,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-15_linkage-ward,0.8091372147020076,0.5,1.0,0.18649074798576612,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-5_linkage-average,0.5933267730539059,0.07142857142857142,0.9333333333333333,0.32290593340042145,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-5_linkage-ward,0.7570832477958059,0.6390096504226938,0.8666666666666667,0.09711938058699218,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-10_linkage-average,0.5373031041420957,0.0,1.0,0.3866599946721223,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-10_linkage-ward,0.5772421319573284,0.0,1.0,0.41682065932640533,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-15_linkage-average,0.6488699760350999,0.0,1.0,0.3313189211389567,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-15_linkage-ward,0.6742554352505642,0.0,1.0,0.33360231218618214,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-5_linkage-average,0.7022656098437496,0.3344968040028363,1.0,0.21820719647523623,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-5_linkage-ward,0.46833720407133594,0.3,0.8006407690254357,0.18052608457518743,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-10_linkage-average,0.598837353744603,0.0,1.0,0.38841710793190776,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-10_linkage-ward,0.6903828267206589,0.0,1.0,0.3176901875531453,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-15_linkage-average,0.8187871250670113,0.2857142857142857,1.0,0.22307176006998689,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-15_linkage-ward,0.6916953001747005,0.0,1.0,0.2977858607036911,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-5_linkage-average,0.5514362103049333,0.0,1.0,0.3520801528158914,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-5_linkage-ward,0.7312191283367251,0.5345224838248488,0.8807048459279793,0.12151234834840606,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-10_linkage-average,0.5444223394780844,0.0,1.0,0.3888350806409342,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-10_linkage-ward,0.696425292687369,0.0,1.0,0.30382712381760646,1.0
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-15_linkage-average,0.7033709501865572,0.0,1.0,0.3069754923415,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-15_linkage-ward,0.759402778342071,0.3333333333333333,1.0,0.2188684075930168,0.6666666666666666
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-5_linkage-average,0.6757104234778846,0.3086066999241838,1.0,0.26015419742827367,0.5
agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-5_linkage-ward,0.6342722106133779,0.27386127875258304,1.0,0.23600891052047526,0.5
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d128_n_clusters-15_linkage-ward,0.7128870188642228,0.0,1.0,0.3374431111576869,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d128_n_clusters-5_linkage-average,0.8416405242612306,0.3563483225498992,1.0,0.24570589462086492,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d128_n_clusters-5_linkage-ward,0.4843316069796185,0.08703882797784893,0.7559289460184544,0.23187332741335934,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-10_linkage-average,0.8183937183986121,0.0,1.0,0.320647305101206,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-10_linkage-ward,0.6195754292304267,0.0,1.0,0.3284683649289712,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-15_linkage-average,0.757540607202619,0.0,1.0,0.38981512598218854,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-15_linkage-ward,0.5265385964996144,0.0,1.0,0.36480510608240974,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-5_linkage-average,0.7466775440503277,0.2672612419124244,0.9660917830792959,0.26143003095280903,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-5_linkage-ward,0.7413741570336809,0.5017452060042544,1.0,0.1642346747531356,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-10_linkage-average,0.9060007945109095,0.5017452060042544,1.0,0.15730113135857038,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-10_linkage-ward,0.7014916832813796,0.09090909090909091,1.0,0.3214805368067493,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-15_linkage-average,0.7542840115437468,0.0,1.0,0.3507322378341866,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-15_linkage-ward,0.587939461684989,0.0,1.0,0.34218464400807796,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-5_linkage-average,0.8141178515147398,0.2672612419124244,1.0,0.2755762736071134,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-5_linkage-ward,0.7993578278591857,0.502518907629606,1.0,0.21096925491930765,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-10_linkage-average,0.5900678750743336,0.2672612419124244,0.9574271077563381,0.2210635092974289,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-10_linkage-ward,0.5387061599026723,0.0,1.0,0.3166893134909425,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-15_linkage-average,0.44802192089561044,0.0,0.9607689228305227,0.32317057016922623,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-15_linkage-ward,0.4492056339128502,0.0,1.0,0.32113972102938465,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-5_linkage-average,0.712261860155767,0.4351941398892446,0.9636241116594315,0.20013080706563924,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-5_linkage-ward,0.46693658578118324,0.17541160386140586,0.7559289460184544,0.20320163429384866,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-10_linkage-average,0.8183937183986121,0.0,1.0,0.320647305101206,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-10_linkage-ward,0.6616589444899191,0.0,1.0,0.3343823964125981,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-15_linkage-average,0.7982808202195122,0.0,1.0,0.34158389193908917,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-15_linkage-ward,0.6204727830235536,0.0,1.0,0.3578426278297482,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-5_linkage-average,0.8178256383944523,0.2773500981126145,1.0,0.2717937598535499,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-5_linkage-ward,0.5507884777347136,0.08703882797784893,0.8970852271450606,0.28645140637991684,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-10_linkage-average,0.6605361043422395,0.0,1.0,0.336299495122309,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-10_linkage-ward,0.4896804886492174,0.0,0.9428090415820635,0.366316927786261,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-15_linkage-average,0.6486369127307129,0.0,1.0,0.3763321213724087,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-15_linkage-ward,0.5400124135809659,0.0,1.0,0.3650783118569579,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-5_linkage-average,0.6990285934358564,0.5017452060042544,0.9428090415820635,0.16165747843265127,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-5_linkage-ward,0.44585076489854264,0.1690308509457033,0.5547001962252291,0.1408175914148624,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-10_linkage-average,0.930592483502194,0.4216370213557839,1.0,0.17053767834319997,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-10_linkage-ward,0.700857331123302,0.21081851067789195,1.0,0.30113287481231477,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-15_linkage-average,0.7261304905957481,0.0,1.0,0.35028709637474054,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-15_linkage-ward,0.6202555112895738,0.0,1.0,0.36136127146358304,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-5_linkage-average,0.7942279995608957,0.2773500981126145,1.0,0.2654881089532055,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-5_linkage-ward,0.47833413347200643,0.08703882797784893,0.6900655593423543,0.20857116066478873,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-10_linkage-average,0.7544274306353267,0.0,1.0,0.31759216289214265,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-10_linkage-ward,0.6878500462018102,0.11952286093343936,1.0,0.2636446542777123,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-15_linkage-average,0.7224525582594592,0.0,1.0,0.3860171842765328,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-15_linkage-ward,0.5242501793918998,0.0,1.0,0.3713256152049195,1.0
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-5_linkage-average,0.6436691469061608,0.2672612419124244,0.9428090415820635,0.24732590806700888,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-5_linkage-ward,0.5098982009762245,0.09128709291752768,0.8970852271450606,0.26604631254356015,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d128_n_clusters-5_linkage-average,0.8464977785782644,0.3380617018914066,1.0,0.25748524951772744,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d128_n_clusters-5_linkage-ward,0.6740360178383462,0.35714285714285715,0.9128709291752769,0.18490352549889486,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-10_linkage-average,0.8112892093738073,0.4,1.0,0.21769139758692446,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-10_linkage-ward,0.7436657708121418,0.4029114820126901,0.9660917830792959,0.18163042036170945,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-15_linkage-average,0.6472705246165921,0.0,1.0,0.3556488027644189,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-15_linkage-ward,0.5985183021981965,0.0,1.0,0.3209122251762975,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-5_linkage-average,0.6909985158737035,0.3380617018914066,0.9428090415820635,0.2305557886830425,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-5_linkage-ward,0.6603548115703245,0.4,0.9534625892455924,0.1906531031822041,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-10_linkage-average,0.7945040585794129,0.35856858280031806,1.0,0.23685641903588608,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-10_linkage-ward,0.7862240253157344,0.29649972666444047,1.0,0.20405254421835162,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-15_linkage-average,0.6647219391884562,0.0,1.0,0.364039315104039,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-15_linkage-ward,0.7564120502864533,0.08703882797784893,1.0,0.2454102739634922,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-5_linkage-average,0.797573547229119,0.253546276418555,1.0,0.27470664052341726,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-5_linkage-ward,0.7211260892661223,0.28603877677367767,0.9534625892455924,0.26883778692055355,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-10_linkage-average,0.5659016003123352,0.33541019662496846,0.9166666666666666,0.20537373843052986,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-10_linkage-ward,0.6500684025995532,0.0,1.0,0.25658652803146076,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-15_linkage-average,0.4157886767397947,0.0,0.9090909090909091,0.29754189006379295,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-15_linkage-ward,0.5210137341730366,0.0,1.0,0.30744227064463536,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-5_linkage-average,0.6649193665222295,0.38138503569823695,0.9607689228305227,0.2285087205287279,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-5_linkage-ward,0.6083117833144275,0.5262348115842176,0.7559289460184544,0.08072082486676482,0.3333333333333333
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-10_linkage-average,0.8112892093738073,0.4,1.0,0.21769139758692446,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-10_linkage-ward,0.7729855432640682,0.29649972666444047,1.0,0.2432816533307972,0.6666666666666666
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-15_linkage-average,0.6969571925074274,0.2,1.0,0.2942906378490752,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-15_linkage-ward,0.699440889913248,0.0,1.0,0.3059559977485004,1.0
agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-5_linkage-average,0.7074521304488398,0.3508232077228117,1.0,0.24432485200353257,0.3333333333333333
