n_points,top_keywords,cluster_id
112,"['автоматичний', 'вимикач', 'полюсний', '6ka', 'hager', '5ка', '29', 'mva20', 'ва47', 'led']",1
218,"['лічильник', 'полюсний', 'вимикач', 'корпус', 'пластиковий', 'вітчизняний', 'фазний', 'електронний', 'мідний', 'наконечник']",2
87,"['wago', 'проводів', 'біла', 'кв', 'клема', 'єднувальна', 'гнучких', 'важелем', 'мм', 'для']",3
41,"['полюсне', 'диференційне', '03а', 'реле', 'hager', '63', 'rxj', 's042201', 'es', 'пластикова']",4
58,"['клем', 'блок', 'hager', 'pe', 'ламп', 'пробник', 'труб', 'галогенових', 'викрутка', 'g4']",5
38,"['термоусаджувальна', 'шина', 'трубка', 'stand', 'відгалужень', 'pro', 'обв', 'спіральна', 'spiral', 'cbs']",6
19,"['клемна', 'аско', 'колодка', 'смм', 'монтажна', 'тв', 'скоба', 'скат', 'корпусі', 'металева']",7
30,"['lezard', '0400', 'контактом', 'із', 'заземлюючим', '106', 'каучукова', 'рамка', 'силова', '715']",8
48,"['коробка', 'ip54', 'розподільна', 'eti', 'ip65', 'дверка', 'корпус', 'зовнішній', 'лічильника', 'фазного']",9
1,"['гвинтова', 'pa', 'бежева', '3901000', '24а', 'vs', 'клема', 'eti']",10
33,"['уек', 'аско', 'зни', 'зажим', 'наклейка', 'клемний', 'укрем', 'рейку', 'yzn10', '100']",11
16,"['fork', 'вилочна', 'hager', 'єднувальна', 'полюсна', 'шина', 'модулів', '12', 'кв', 'cosmos']",12
12,"['golf', 'quickconnect', 'vf', 'vs', 'клем', 'щитів', 'тримач', 'hager', 'до', 'vz707n']",13
6,"['din', 'часу', 'реле', 'eti', '100см', 'rail', 's023001', 'перфорована', 'crm', 'uni']",14
20,"['lamp', 'е27', 'white', 'socket', 'e27', 'патрон', 'pl', 'пластиковий', 'gu10', 'патрону']",15
9,"['tool', 'інструмент', 'обтиску', 'crimp', 'прямий', '140х3', 'шліц', 'hs', 'кв', 'індикатор']",16
2,"['sedna', 'біла', 'розетка', 'із', 'захистом', 'sdn4400121', 'неекранована', 'sdn3000121', 'utp', 'rj45']",17
8,"['sensor', 'white', 'pir', 'інфрачервоний', 'білий', 'руху', 'ip20', 'стельовий', '360', 'датчик']",18
4,"['my3', '5а', 'control', 'p536', '230ac', 'проміжне', 'реле', '230v', 'ac', 'p53s']",19
25,"['control', 'реле', 'ptf', '14a', 'єм', 'роз', 'p104s', '10а', 'модульний', 'ly4']",20
16,"['led', '0w', 'лампа', 'mr16', 'lezard', 'a60', '4000', '442', '230v', '4200']",21
67,"['лампа', '840', 'osram', 'dulux', 'feron', 'галогенова', 'компактна', 'g23', '11w', 'іскра']",22
18,"['control', 'проміжне', '10а', 'ly4', 'реле', 'ac', '12v', '230ac', 'p1046', 'dc']",23
14,"['iskra', '230v', 'розжарювання', 'лампа', 'прозора', '75w', 'a55', 'манжеті', 'e27', 'st']",24
98,"['230v', 'вихід', 'перемикач', 'hager', 'зверху', 'полюсний', 'ii', 'контактор', '32а', '25a']",25
