n_points,top_keywords,cluster_id
2,"['apbb', 'здвоєна', 'неонова', 'пуск', 'k51', 'bbd11', '22n', 'уек', 'стоп', 'кнопка']",1
995,"['hager', 'полюсний', 'вимикач', 'автоматичний', 'уек', '230v', 'лампа', 'для', 'перемикач', '6ka']",2
1,"['гвинтова', 'pa', 'бежева', '3901000', '24а', 'vs', 'клема', 'eti']",3
1,"['пзв', 'f202', '2csf202001r1400', 'реле', 'диференційне', 'ac', 'abb', '40', '03']",4
1,"['p054001', 'sf', 'самовулканізуюча', 'ізолента', 'tape', '8мм', '5м', '25мм']",5
