n_points,top_keywords,cluster_id
2,"['apbb', 'здвоєна', 'неонова', 'пуск', 'k51', 'bbd11', '22n', 'уек', 'стоп', 'кнопка']",1
2,"['plank', 'd65', 'коробка', 'стін', '45', 'для', 'plk4002400', 'полих', 'установочна', 'plk5001500']",2
12,"['golf', 'quickconnect', 'vf', 'hager', 'тримач', 'vs', 'клем', 'щитів', 'до', 'модулів']",3
2,"['екран', 'рж', 'finmark', 'rg', '64', 'кабель', 'пропиткою', 'trishield', 'f6tsvcu', 'f660bvf']",4
2,"['регулюється', 'panel', 'світлодіодной', 'панелі', 'l0850018', 'driver', 'dim1', '10v', 'драйвер', 'pro']",5
7,"['галогенових', 'ламп', 'патрон', 'g4', 'до']",6
2,"['неекранований', 'біметал', 'cable', 'alarm', '6х0', 'сигнальний', 'кабель', '22']",7
964,"['полюсний', 'hager', 'вимикач', 'автоматичний', 'уек', '230v', 'лампа', 'перемикач', '6ka', 'din']",8
1,"['проектор', 'дома', 'кафе', 'бара', 'лазерный', 'лазер', 'стробоскоп', 'диско', 'для']",9
1,"['pin', 'kb163a', 'штирьова', 'мм2', 'сіра', 'полюсна', '10', 'єднувальна', 'шина', 'модулів']",10
1,"['le', 'eltis', 'лампа', 'сигнальна', 'червона']",11
1,"['нейтральна', 'тримачем', 'km17n', '8x16', '8x10мм²', '1х25', 'клема', 'hager']",12
1,"['гвинтова', 'pa', 'бежева', '3901000', '24а', 'vs', 'eti', 'клема']",13
1,"['пзв', 'f202', '2csf202001r1400', 'реле', 'диференційне', 'ac', 'abb', '40', '03']",14
1,"['p054001', 'sf', 'самовулканізуюча', 'ізолента', 'tape', '8мм', '5м', '25мм']",15
