n_points,top_keywords,cluster_id
330,"['автоматичний', 'вимикач', 'полюсний', '6ka', 'hager', '5ка', 'уек', 'лічильник', 'stand', 'фазний']",1
87,"['wago', 'проводів', 'клема', 'кв', 'гнучких', 'важелем', 'єднувальна', 'біла', 'мм', 'legrand']",2
186,"['hager', 'блок', 'клем', 'полюсне', 'термоусаджувальна', 'диференційне', 'реле', 'шина', 'трубка', 'stand']",3
49,"['ip54', 'коробка', 'eti', 'розподільна', 'дверка', 'ip65', 'корпус', 'лічильника', 'фазного', '85']",4
49,"['уек', 'вилочна', 'fork', 'аско', 'hager', 'зни', 'полюсна', 'єднувальна', 'клемний', 'наклейка']",5
18,"['golf', 'vf', 'quickconnect', 'vs', 'клем', 'щитів', 'тримач', 'hager', 'vz707n', 'до']",6
29,"['lamp', 'е27', 'white', 'socket', 'e27', 'tool', 'патрон', 'pl', 's9100016', 'nut']",7
39,"['control', 'реле', 'єм', '14a', 'ptf', 'роз', '10а', 'модульний', 'p104s', 'до']",8
16,"['led', '0w', 'лампа', 'mr16', 'lezard', 'a60', '230v', '442', '4000', '4200']",9
197,"['230v', 'лампа', 'перемикач', 'вихід', 'hager', 'полюсний', 'зверху', 'ii', 'osram', 'контактор']",10
