algorithm,dimension,filename,clusters,linkage,n_clusters,n_noise,noise_ratio,cluster_size_mean,cluster_size_std,cluster_size_min,cluster_size_max,normalized_entropy,eps,samples,size
hdbscan,256,hdbscan_d256_min_cluster_size-20.csv,,,18,311,0.311,38.27777777777778,13.62439661073238,21,69,0.9802199679992649,,,20.0
hdbscan,256,hdbscan_d256_min_cluster_size-50.csv,,,2,403,0.403,298.5,231.22391744800103,135,462,0.7712049391273164,,,50.0
hdbscan,2,hdbscan_d2_min_cluster_size-10.csv,,,37,165,0.165,22.56756756756757,10.164044854673152,11,49,0.9742751346796515,,,10.0
hdbscan,2,hdbscan_d2_min_cluster_size-20.csv,,,18,276,0.276,40.22222222222222,18.054022056547417,22,84,0.9700961561916545,,,20.0
hdbscan,2,hdbscan_d2_min_cluster_size-50.csv,,,2,271,0.271,364.5,234.05234457274722,199,530,0.8457036316287427,,,50.0
hdbscan,32,hdbscan_d32_min_cluster_size-10.csv,,,34,162,0.162,24.647058823529413,14.950184660744974,11,77,0.9570368055150175,,,10.0
hdbscan,32,hdbscan_d32_min_cluster_size-20.csv,,,8,200,0.2,100.0,162.24672569885655,24,500,0.6596171536229645,,,20.0
hdbscan,32,hdbscan_d32_min_cluster_size-50.csv,,,2,388,0.388,306.0,226.27416997969522,146,466,0.7926408998734082,,,50.0
hdbscan,4,hdbscan_d4_min_cluster_size-10.csv,,,39,165,0.165,21.41025641025641,11.172612069647787,11,66,0.9692672725077384,,,10.0
hdbscan,4,hdbscan_d4_min_cluster_size-20.csv,,,5,122,0.122,175.6,233.76868909244453,39,586,0.6470003602555435,,,20.0
hdbscan,4,hdbscan_d4_min_cluster_size-50.csv,,,2,188,0.188,406.0,233.3452377915607,241,571,0.8773415451117724,,,50.0
hdbscan,64,hdbscan_d64_min_cluster_size-10.csv,,,36,151,0.151,23.583333333333332,10.431750983005134,11,54,0.9749647484531226,,,10.0
